case_id,event_time
SYN-00001,2025-11-09
SYN-00001,2025-12-22
SYN-00001,2025-12-22
SYN-00002,2025-11-13
SYN-00002,2026-03-26
SYN-00002,2026-03-26
SYN-00003,2026-07-06
SYN-00003,2026-07-06
SYN-00003,2026-09-06
SYN-00003,2026-09-06
SYN-00004,2026-07-28
SYN-00004,2026-11-10
SYN-00004,2026-11-10
SYN-00005,2026-07-02
SYN-00005,2027-01-11
SYN-00005,2027-01-11
SYN-00006,2026-02-21
SYN-00006,2026-06-15
SYN-00006,2026-06-15
SYN-00007,2025-12-30
SYN-00007,2026-03-22
SYN-00007,2026-03-22
SYN-00008,2026-07-11
SYN-00008,2026-10-12
SYN-00008,2026-10-12
SYN-00009,2026-06-29
SYN-00009,2026-08-03
SYN-00009,2026-08-03
SYN-00010,2026-06-09
SYN-00010,2026-10-25
SYN-00010,2026-10-25
SYN-00011,2026-05-19
SYN-00011,2026-07-05
SYN-00011,2026-07-05
SYN-00012,2026-01-26
SYN-00012,2026-07-29
SYN-00012,2026-07-29
SYN-00013,2025-11-03
SYN-00013,2025-12-28
SYN-00013,2025-12-28
SYN-00014,2026-04-18
SYN-00014,2026-10-23
SYN-00014,2026-10-23
SYN-00015,2025-12-05
SYN-00015,2026-03-07
SYN-00015,2026-03-07
SYN-00016,2025-11-02
SYN-00016,2026-01-26
SYN-00016,2026-01-26
SYN-00017,2025-11-14
SYN-00017,2026-03-29
SYN-00017,2026-03-29
SYN-00018,2026-05-12
SYN-00018,2026-08-02
SYN-00018,2026-08-02
SYN-00019,2026-07-07
SYN-00019,2026-09-01
SYN-00019,2026-09-01
SYN-00020,2026-08-21
SYN-00020,2026-12-05
SYN-00020,2026-12-05
SYN-00021,2026-05-03
SYN-00021,2026-09-13
SYN-00021,2026-09-13
SYN-00022,2026-01-24
SYN-00022,2026-04-17
SYN-00022,2026-04-17
SYN-00023,2026-01-01
SYN-00023,2026-03-20
SYN-00023,2026-03-20
SYN-00024,2026-01-22
SYN-00024,2026-07-19
SYN-00024,2026-07-19
SYN-00025,2025-12-01
SYN-00025,2026-04-18
SYN-00025,2026-04-18
SYN-00026,2026-07-20
SYN-00026,2026-10-02
SYN-00026,2026-10-02
SYN-00027,2026-01-16
SYN-00027,2026-05-01
SYN-00027,2026-05-01
SYN-00028,2026-01-31
SYN-00028,2026-08-08
SYN-00028,2026-08-08
SYN-00029,2026-08-17
SYN-00030,2025-10-30
SYN-00030,2026-04-16
SYN-00030,2026-04-16
SYN-00031,2026-08-24
SYN-00032,2026-02-15
SYN-00032,2026-08-26
SYN-00032,2026-08-26
SYN-00032,2026-08-26
SYN-00033,2026-04-30
SYN-00033,2026-08-25
SYN-00033,2026-08-25
SYN-00034,2026-02-16
SYN-00034,2026-06-24
SYN-00034,2026-06-24
SYN-00035,2025-10-27
SYN-00035,2026-01-31
SYN-00035,2026-01-31
SYN-00035,2026-01-31
SYN-00036,2026-04-22
SYN-00036,2026-08-29
SYN-00036,2026-08-29
SYN-00037,2026-08-09
SYN-00037,2026-11-10
SYN-00037,2026-11-10
SYN-00038,2026-07-06
SYN-00038,2026-12-10
SYN-00038,2026-12-10
SYN-00039,2026-01-01
SYN-00039,2026-04-08
SYN-00039,2026-04-08
SYN-00040,2026-06-10
SYN-00040,2026-11-12
SYN-00040,2026-11-12
SYN-00041,2026-02-07
SYN-00041,2026-05-02
SYN-00041,2026-05-02
SYN-00042,2026-02-16
SYN-00042,2026-08-11
