case_id,host_identified,country
SYN-00001,N,해외
SYN-00002,N,해외
SYN-00003,N,해외
SYN-00004,N,해외
SYN-00005,N,해외
SYN-00006,N,해외
SYN-00007,N,해외
SYN-00008,N,미국
SYN-00009,N,미국
SYN-00010,N,해외
SYN-00011,Y,미국
SYN-00012,N,해외
SYN-00013,N,해외
SYN-00014,N,
SYN-00015,Y,해외
SYN-00016,N,해외
SYN-00017,N,미국
SYN-00018,N,해외
SYN-00019,N,미국
SYN-00020,N,미국
SYN-00021,N,해외
SYN-00022,N,미국
SYN-00023,N,해외
SYN-00024,N,미국
SYN-00025,N,해외
SYN-00026,N,미국
SYN-00027,N,미국
SYN-00028,N,해외
SYN-00029,N,해외
SYN-00030,N,해외
SYN-00031,N,해외
SYN-00032,Y,해외
SYN-00033,N,해외
SYN-00034,N,미국
SYN-00035,Y,해외
SYN-00036,Y,해외
SYN-00037,N,해외
SYN-00038,N,
SYN-00039,N,미국
SYN-00040,N,미국
SYN-00041,Y,미국
SYN-00042,N,해외
SYN-00043,N,해외
SYN-00044,N,미국
SYN-00045,Y,해외
SYN-00046,N,해외
SYN-00047,N,미국
SYN-00048,Y,해외
SYN-00049,N,해외
SYN-00050,N,미국
SYN-00051,N,미국
SYN-00052,Y,해외
SYN-00053,N,해외
SYN-00054,N,해외
SYN-00055,N,미국
SYN-00056,N,해외
SYN-00057,Y,미국
SYN-00058,Y,해외
SYN-00059,N,미국
SYN-00060,Y,해외
SYN-00061,N,해외
SYN-00062,N,해외
SYN-00063,N,해외
SYN-00064,N,해외
SYN-00065,Y,미국
SYN-00066,N,미국
SYN-00067,N,미국
SYN-00068,N,해외
SYN-00069,N,해외
SYN-00070,N,해외
SYN-00071,Y,해외
SYN-00072,N,미국
SYN-00073,N,미국
SYN-00074,N,미국
SYN-00075,N,해외
SYN-00076,N,미국
SYN-00077,N,
SYN-00078,N,미국
SYN-00079,Y,미국
SYN-00080,N,해외
SYN-00081,N,해외
SYN-00082,N,해외
SYN-00083,N,미국
SYN-00084,N,해외
SYN-00085,Y,해외
SYN-00086,Y,미국
SYN-00087,N,미국
SYN-00088,N,해외
SYN-00089,N,미국
SYN-00090,N,해외
SYN-00091,N,미국
SYN-00092,Y,미국
SYN-00093,N,해외
SYN-00094,N,해외
SYN-00095,N,해외
SYN-00096,N,미국
SYN-00097,Y,해외
SYN-00098,N,
SYN-00099,N,미국
SYN-00100,Y,미국
SYN-00101,N,해외
SYN-00102,N,
SYN-00103,N,
SYN-00104,N,해외
SYN-00105,N,미국
SYN-00106,N,미국
SYN-00107,N,해외
SYN-00108,N,해외
SYN-00109,Y,미국
SYN-00110,N,미국
SYN-00111,N,해외
SYN-00112,N,미국
SYN-00113,N,미국
SYN-00114,N,미국
SYN-00115,Y,미국
SYN-00116,N,미국
SYN-00117,Y,해외
SYN-00118,Y,미국
SYN-00119,N,
SYN-00120,N,해외
SYN-00121,N,해외
SYN-00122,Y,미국
SYN-00123,N,해외
SYN-00124,N,해외
SYN-00125,Y,해외
SYN-00126,N,미국
SYN-00127,N,해외
SYN-00128,N,해외
SYN-00129,N,해외
SYN-00130,N,
SYN-00131,N,미국
SYN-00132,N,해외
SYN-00133,Y,해외
SYN-00134,N,미국
SYN-00135,Y,해외
SYN-00136,N,해외
SYN-00137,Y,해외
SYN-00138,Y,미국
SYN-00139,N,해외
SYN-00140,Y,해외
SYN-00141,N,해외
SYN-00142,N,해외
SYN-00143,N,
SYN-00144,N,해외
SYN-00145,Y,미국
SYN-00146,N,해외
SYN-00147,N,해외
SYN-00148,N,미국
SYN-00149,Y,미국
SYN-00150,N,미국
SYN-00151,N,미국
SYN-00152,N,미국
SYN-00153,N,미국
SYN-00154,N,미국
SYN-00155,N,미국
SYN-00156,Y,미국
SYN-00157,N,해외
SYN-00158,Y,미국
SYN-00159,N,미국
SYN-00160,N,미국
SYN-00161,Y,
SYN-00162,N,미국
SYN-00163,N,미국
SYN-00164,N,미국
SYN-00165,Y,미국
SYN-00166,N,미국
SYN-00167,N,해외
SYN-00168,N,해외
SYN-00169,N,해외
SYN-00170,N,미국
SYN-00171,N,미국
SYN-00172,Y,미국
SYN-00173,N,해외
SYN-00174,Y,미국
SYN-00175,N,해외
SYN-00176,N,해외
SYN-00177,N,해외
SYN-00178,N,
SYN-00179,N,미국
SYN-00180,Y,해외
SYN-00181,N,미국
SYN-00182,Y,해외
SYN-00183,N,해외
SYN-00184,N,
SYN-00185,N,미국
SYN-00186,Y,해외
SYN-00187,N,해외
SYN-00188,N,미국
SYN-00189,N,미국
SYN-00190,N,해외
SYN-00191,N,해외
SYN-00192,N,미국
SYN-00193,N,미국
SYN-00194,Y,미국
SYN-00195,N,미국
SYN-00196,N,해외
SYN-00197,N,해외
SYN-00198,N,미국
SYN-00199,Y,미국
SYN-00200,N,미국
SYN-00201,Y,해외
SYN-00202,Y,미국
SYN-00203,N,해외
SYN-00204,N,
SYN-00205,N,해외
SYN-00206,N,미국
SYN-00207,N,해외
SYN-00208,Y,해외
SYN-00209,N,미국
SYN-00210,Y,미국
SYN-00211,N,미국
SYN-00212,Y,미국
SYN-00213,N,미국
SYN-00214,N,미국
SYN-00215,N,해외
SYN-00216,N,미국
SYN-00217,N,미국
SYN-00218,N,미국
SYN-00219,N,미국
SYN-00220,Y,해외
SYN-00221,N,
SYN-00222,Y,해외
SYN-00223,N,미국
SYN-00224,Y,미국
SYN-00225,N,해외
SYN-00226,N,미국
SYN-00227,Y,해외
SYN-00228,Y,미국
SYN-00229,Y,해외
SYN-00230,Y,해외
SYN-00231,N,미국
SYN-00232,N,해외
SYN-00233,N,미상
SYN-00234,N,해외
SYN-00235,Y,미국
SYN-00236,N,해외
SYN-00237,N,해외
SYN-00238,Y,해외
SYN-00239,N,미국
SYN-00240,N,
SYN-00241,Y,해외
SYN-00242,Y,
SYN-00243,N,미국
SYN-00244,Y,해외
SYN-00245,N,해외
SYN-00246,N,
SYN-00247,N,미국
SYN-00248,Y,해외
SYN-00249,N,해외
SYN-00250,N,해외
SYN-00251,N,해외
SYN-00252,N,해외
SYN-00253,N,미국
SYN-00254,N,해외
SYN-00255,Y,해외
SYN-00256,N,해외
SYN-00257,N,미국
SYN-00258,N,미국
SYN-00259,N,미국
SYN-00260,N,해외
SYN-00261,Y,미국
SYN-00262,Y,해외
SYN-00263,Y,해외
SYN-00264,N,미국
SYN-00265,N,미국
SYN-00266,N,미국
SYN-00267,Y,미국
SYN-00268,N,미국
SYN-00269,Y,미국
SYN-00270,N,
SYN-00271,Y,해외
SYN-00272,N,미국
SYN-00273,N,미국
SYN-00274,N,해외
SYN-00275,N,미국
SYN-00276,N,해외
SYN-00277,N,해외
SYN-00278,Y,
SYN-00279,N,해외
SYN-00280,Y,해외
SYN-00281,N,
SYN-00282,N,해외
SYN-00283,N,미국
SYN-00284,N,미국
SYN-00285,N,해외
SYN-00286,N,미국
SYN-00287,N,해외
SYN-00288,Y,미국
SYN-00289,N,해외
SYN-00290,Y,미국
SYN-00291,N,해외
SYN-00292,N,미국
SYN-00293,N,미국
SYN-00294,N,미국
SYN-00295,N,해외
SYN-00296,N,해외
SYN-00297,N,미국
SYN-00298,N,해외
SYN-00299,Y,해외
SYN-00300,Y,미국
SYN-00301,Y,해외
SYN-00302,N,미국
SYN-00303,Y,해외
SYN-00304,N,
SYN-00305,N,해외
SYN-00306,N,해외
SYN-00307,N,해외
SYN-00308,N,해외
SYN-00309,N,해외
SYN-00310,N,해외
SYN-00311,N,해외
SYN-00312,N,미국
SYN-00313,N,미국
SYN-00314,Y,미국
SYN-00315,Y,해외
SYN-00316,Y,
SYN-00317,N,해외
SYN-00318,N,미국
SYN-00319,Y,해외
SYN-00320,N,미국
SYN-00321,N,미국
SYN-00322,N,미국
SYN-00323,N,해외
SYN-00324,N,해외
SYN-00325,N,해외
SYN-00326,N,미국
SYN-00327,Y,해외
SYN-00328,Y,미국
SYN-00329,Y,미국
SYN-00330,Y,해외
SYN-00331,Y,해외
SYN-00332,N,해외
SYN-00333,Y,해외
SYN-00334,Y,미국
SYN-00335,N,미국
SYN-00336,Y,해외
SYN-00337,N,미국
SYN-00338,N,
SYN-00339,N,해외
SYN-00340,N,미국
SYN-00341,Y,해외
SYN-00342,N,해외
SYN-00343,N,미국
SYN-00344,Y,미국
SYN-00345,N,미국
SYN-00346,Y,미국
SYN-00347,N,해외
SYN-00348,N,미국
SYN-00349,N,해외
SYN-00350,Y,미국
SYN-00351,N,해외
SYN-00352,N,해외
SYN-00353,N,미상
SYN-00354,N,해외
SYN-00355,N,해외
SYN-00356,N,해외
SYN-00357,Y,해외
