case_id,stage,event_time
SYN-00001,제출,2025-11-09
SYN-00001,종결,2025-12-22
SYN-00001,결과_성공,2025-12-22
SYN-00002,제출,2025-11-13
SYN-00002,종결,2026-03-26
SYN-00002,결과_성공,2026-03-26
SYN-00003,제출,2026-07-06
SYN-00003,제출,2026-07-06
SYN-00003,종결,2026-09-06
SYN-00003,결과_성공,2026-09-06
SYN-00004,제출,2026-07-28
SYN-00004,종결,2026-11-10
SYN-00004,결과_성공,2026-11-10
SYN-00005,제출,2026-07-02
SYN-00005,종결,2027-01-11
SYN-00005,결과_성공,2027-01-11
SYN-00006,제출,2026-02-21
SYN-00006,종결,2026-06-15
SYN-00006,결과_성공,2026-06-15
SYN-00007,제출,2025-12-30
SYN-00007,종결,2026-03-22
SYN-00007,결과_성공,2026-03-22
SYN-00008,제출,2026-07-11
SYN-00008,종결,2026-10-12
SYN-00008,결과_성공,2026-10-12
SYN-00009,제출,2026-06-29
SYN-00009,종결,2026-08-03
SYN-00009,결과_성공,2026-08-03
SYN-00010,제출,2026-06-09
SYN-00010,종결,2026-10-25
SYN-00010,결과_성공,2026-10-25
SYN-00011,제출,2026-05-19
SYN-00011,종결,2026-07-05
SYN-00011,결과_성공,2026-07-05
SYN-00012,제출,2026-01-26
SYN-00012,종결,2026-07-29
SYN-00012,결과_성공,2026-07-29
SYN-00013,제출,2025-11-03
SYN-00013,종결,2025-12-28
SYN-00013,결과_실패,2025-12-28
SYN-00014,제출,2026-04-18
SYN-00014,종결,2026-10-23
SYN-00014,결과_성공,2026-10-23
SYN-00015,제출,2025-12-05
SYN-00015,종결,2026-03-07
SYN-00015,결과_실패,2026-03-07
SYN-00016,제출,2025-11-02
SYN-00016,종결,2026-01-26
SYN-00016,결과_성공,2026-01-26
SYN-00017,제출,2025-11-14
SYN-00017,종결,2026-03-29
SYN-00017,결과_성공,2026-03-29
SYN-00018,제출,2026-05-12
SYN-00018,종결,2026-08-02
SYN-00018,결과_성공,2026-08-02
SYN-00019,제출,2026-07-07
SYN-00019,종결,2026-09-01
SYN-00019,결과_실패,2026-09-01
SYN-00020,제출,2026-08-21
SYN-00020,종결,2026-12-05
SYN-00020,결과_실패,2026-12-05
SYN-00021,제출,2026-05-03
SYN-00021,종결,2026-09-13
SYN-00021,결과_성공,2026-09-13
SYN-00022,제출,2026-01-24
SYN-00022,종결,2026-04-17
SYN-00022,결과_성공,2026-04-17
SYN-00023,제출,2026-01-01
SYN-00023,종결,2026-03-20
SYN-00023,결과_실패,2026-03-20
SYN-00024,제출,2026-01-22
SYN-00024,종결,2026-07-19
SYN-00024,결과_성공,2026-07-19
SYN-00025,제출,2025-12-01
SYN-00025,종결,2026-04-18
SYN-00025,결과_성공,2026-04-18
SYN-00026,제출,2026-07-20
SYN-00026,종결,2026-10-02
SYN-00026,결과_실패,2026-10-02
SYN-00027,제출,2026-01-16
SYN-00027,종결,2026-05-01
SYN-00027,결과_성공,2026-05-01
SYN-00028,제출,2026-01-31
SYN-00028,종결,2026-08-08
SYN-00028,결과_성공,2026-08-08
SYN-00029,제출,2026-08-17
SYN-00030,제출,2025-10-30
SYN-00030,종결,2026-04-16
SYN-00030,결과_실패,2026-04-16
SYN-00031,제출,2026-08-24
SYN-00032,제출,2026-02-15
SYN-00032,종결,2026-08-26
SYN-00032,결과_성공,2026-08-26
SYN-00032,종결,2026-08-26
SYN-00033,제출,2026-04-30
SYN-00033,종결,2026-08-25
SYN-00033,결과_성공,2026-08-25
SYN-00034,제출,2026-02-16
SYN-00034,종결,2026-06-24
SYN-00034,결과_실패,2026-06-24
SYN-00035,제출,2025-10-27
SYN-00035,종결,2026-01-31
SYN-00035,결과_성공,2026-01-31
SYN-00035,결과_성공,2026-01-31
SYN-00036,제출,2026-04-22
SYN-00036,종결,2026-08-29
SYN-00036,결과_성공,2026-08-29
SYN-00037,제출,2026-08-09
SYN-00037,종결,2026-11-10
SYN-00037,결과_실패,2026-11-10
SYN-00038,제출,2026-07-06
SYN-00038,종결,2026-12-10
SYN-00038,결과_성공,2026-12-10
SYN-00039,제출,2026-01-01
SYN-00039,종결,2026-04-08
SYN-00039,결과_실패,2026-04-08
SYN-00040,제출,2026-06-10
SYN-00040,종결,2026-11-12
SYN-00040,결과_성공,2026-11-12
SYN-00041,제출,2026-02-07
SYN-00041,종결,2026-05-02
SYN-00041,결과_성공,2026-05-02
SYN-00042,제출,2026-02-16
SYN-00042,종결,2026-08-11
SYN-00042,결과_성공,2026-08-11
SYN-00043,제출,2026-08-11
SYN-00044,제출,2025-10-22
SYN-00044,종결,2025-12-23
SYN-00044,결과_성공,2025-12-23
SYN-00044,종결,2025-12-23
SYN-00045,제출,2026-02-02
SYN-00045,종결,2026-07-04
SYN-00045,결과_성공,2026-07-04
SYN-00046,제출,2026-02-03
SYN-00046,종결,2026-08-19
SYN-00046,결과_실패,2026-08-19
SYN-00047,제출,2025-11-01
SYN-00047,종결,2025-12-11
SYN-00047,결과_성공,2025-12-11
SYN-00048,제출,2026-01-21
SYN-00048,종결,2026-02-21
SYN-00048,결과_성공,2026-02-21
SYN-00049,제출,2026-07-05
SYN-00049,종결,2026-10-30
SYN-00049,결과_성공,2026-10-30
SYN-00050,제출,2026-03-05
SYN-00050,종결,2026-05-10
SYN-00050,결과_성공,2026-05-10
SYN-00051,제출,2026-08-20
SYN-00051,종결,2026-09-25
SYN-00051,결과_성공,2026-09-25
SYN-00052,제출,2025-11-21
SYN-00052,종결,2026-03-20
SYN-00052,결과_성공,2026-03-20
SYN-00053,제출,2025-12-31
SYN-00053,종결,2026-02-26
SYN-00053,결과_실패,2026-02-26
SYN-00054,제출,2025-10-25
SYN-00054,종결,2026-01-17
SYN-00054,결과_성공,2026-01-17
SYN-00055,제출,2025-09-27
SYN-00055,종결,2025-12-01
SYN-00055,결과_성공,2025-12-01
SYN-00056,제출,2026-05-22
SYN-00056,종결,2026-09-03
SYN-00056,결과_실패,2026-09-03
SYN-00057,제출,2026-06-16
SYN-00057,종결,2026-08-09
SYN-00057,결과_성공,2026-08-09
SYN-00058,제출,2026-05-30
SYN-00058,종결,2026-06-29
SYN-00058,결과_성공,2026-06-29
SYN-00059,제출,2025-11-27
SYN-00059,종결,2026-05-23
SYN-00059,결과_성공,2026-05-23
SYN-00060,제출,2026-03-30
SYN-00060,종결,2026-07-27
SYN-00060,결과_성공,2026-07-27
SYN-00061,제출,2026-05-26
SYN-00061,종결,2026-12-02
SYN-00061,결과_실패,2026-12-02
SYN-00062,제출,2025-12-18
SYN-00062,종결,2026-04-26
SYN-00062,결과_성공,2026-04-26
SYN-00063,제출,2026-06-13
SYN-00063,종결,2026-07-21
SYN-00063,결과_성공,2026-07-21
SYN-00064,제출,2026-02-07
SYN-00064,종결,2026-04-27
SYN-00064,결과_실패,2026-04-27
SYN-00065,제출,2026-01-18
SYN-00065,종결,2026-05-29
SYN-00065,결과_성공,2026-05-29
SYN-00066,제출,2026-02-19
SYN-00066,종결,2026-08-16
SYN-00066,결과_실패,2026-08-16
SYN-00067,제출,2026-07-19
SYN-00067,종결,2026-12-19
SYN-00067,결과_실패,2026-12-19
SYN-00068,제출,2025-12-09
SYN-00068,종결,2026-02-21
SYN-00068,결과_성공,2026-02-21
SYN-00069,제출,2026-01-02
SYN-00069,종결,2026-02-18
SYN-00069,결과_성공,2026-02-18
SYN-00070,제출,2026-05-22
SYN-00070,종결,2026-08-22
SYN-00070,결과_성공,2026-08-22
SYN-00071,제출,2026-07-20
SYN-00071,종결,2026-09-20
SYN-00071,결과_성공,2026-09-20
SYN-00072,제출,2025-10-06
SYN-00072,종결,2026-02-25
SYN-00072,결과_성공,2026-02-25
